Speaker_1,Speaker_2
돈없어서 쿠팡단기알바 했는데 삭신이 쑤신다 병원비가 더들어갈거같아,갑자기 단기 알바는 왜 했어??? 무슨 일 있어??
저번주말에 번지점프 해봤는데 심장 떨어지는줄 알았어 ㅋㅋ 너도 한번 해봐,어우.. 난 무서워서 못할꺼 같애 ㅋㅋㅋ
친구랑 재미삼아 경마장 가봤는데 재밌더라 ㅋㅋ 너는 경마장 가봤어?,아니 한번도 안가봤어 ㅋㅋㅋㅋ
친한 동생이 이번에 취업했다고 하더라 나는 언제하냐 ㅜㅜㅋㅋ,언젠간 할꺼야 ㅠㅠ 너무 상심하지는 마...
낚시하러 갔는데 배만타면 멀미하는것 같아 낚시는 좋은데 힘들어 ㅜㅜ,에구.. 멀미약은 먹었어?? ㅠㅠ
친구들이랑 여행갔는데 서로 너무 안맞아서 꽝이였어 ㅋㅋ,에구.. 무슨 일 있었어?? ㅠㅠ
할말을 이어가야 하는데 할말이 없을때 어떻게 대처할까 ㅋㅋ,아 그런거 진짜 민망한데
땀이 너무 많이 나서 집오자마자 샤워했어 요즘 너무 더운거같아 그치?,맞어.. 너무 더운거 같아서 힘들어 ㅠㅠ
쪼리신고다니다가 중간에 끊어져서 되게 곤란했어ㅋㅋ 너는 쪼리 잘안신어?,나는 발가락 사이가 불편해서 잘 안신는거 같애 ㅋㅋ
너는 친구랑 싸우면 어떻게 푸는 편이야??,글쎄... 어느 정도 시간을 가지고 얘기를 해볼꺼 같애 
가고싶은 여행지 있어?,나는 유럽 한번 가보고 싶어~~
오토바이 타보고싶다 너는 어때?,오토바이 무서워서 난 별로 안타보고 싶긴 해 ㅋㅋ
입고다니던 티가 늘어나서 보기 싫더라 새로 사야할거같아,그러면 사야지.. 늘어난거 입으면 좀 그래 ㅠㅠ
분위기 안좋을때 어떻게 풀어나가야할까,왜 안좋아졌는지 먼저 파악하고 조심스럽게 다가가봐
노래부르다가 목에서 피나왔어 ㅋㅋ,피나왔다고? 괜찮아?ㅜㅜ 성대 다친거 아니야?
너는 평소에 어떤 음악 즐겨들어??,나 도자캣꺼 좋아해!!
쿠키 구웠는데 내일 먹어볼래??,헉 멋지다 쿠기도 굽는구나! 내일 먹어볼래!
여자친구가 나보고 요즘 살쪘냐고 물어보는데 어떻게 대답할까?ㅋㅋㅋ,일단 무조건 예쁘다고 말해!
팔에 레터링 하려고 하는데 너는 어떻게 생각해?,너랑 잘 어울릴거같아! 
어제 길가다가 시비붙어서 싸웠다가 경찰서 갔다왔어,헉 경찰서까지 갔어? 엄청 큰일이었나보다ㅠㅠ 너 괜찮아?
요새 마음이 무거운것 같아,왜 무슨일 있어??
반복되는 일상이 지루하게 느껴지는것 같아 너는 어때?,그럴때마다 일탈을 하고싶은데 ㅋㅋ 막상 하던거 또하고있더라 ㅋㅋㅋ
퇴근길에 전여자친구 만났는데 싱숭생숭 하더라 ㅋㅋ 말 걸어볼걸 그랬나,뭐하러 말을 거냐 ㅋㅋㅋㅋ 신경쓰지마~ 이미 지나간 사람이잖아
내가 사고쳐서 문제가 생겼는데 어떻게 해결하면 좋을까,그럴땐 죄송하다고 빌어야지 뭐 ㅋㅋㅋ 너무 혼나면 어지러워질것같아
가끔씩 마음에도 없는 소리를 해서 여자친구랑 싸우는것 같아,맞아 가끔씩 감정 격해지면 이상한말 나오더라 ㅋㅋ 고쳐야하는 버릇이야
나는 표정에 감정이 너무 잘드러나서 문제인것 같아 ㅋㅋ 너는 감정조절 잘해?,나도 감정조절 잘못해 ㅜㅜ 조금만 화나면 눈물나올것 같아
갑자기 전쟁나면 어떻게될까 상상함ㅋㅋ 너는 어떨것 같아?,나는 무서워서 가만히 있다가 가족들이 대려가줄거같아 ㅋㅋㅋ
저번달에 부산 놀러갔는데 또 놀러가고싶다 같이갈래?,부산 좋지!!!!같이 가자고 해줘서 고마워!!
옛날에 만난 남자친구가 그리워 다시 연락해볼까?,ㅠㅠ요즘 외로워? 안부차 연락해봐!
이번여름에 바다 놀러가려고 했는데 너무 살찐거같아서 그냥 가지말까 고민중ㅋㅋ,살쪄도 괜찮아~ 재밌게 놀고 오면 되지
요세 흉기난동 사고가 너무 많이 나는것같아서 길다니기 무섭더라...,맞아 조심해야돼 ㅠㅠ
어제 내가 들려준 노래 어땠어??? 난 하루종일 듣는중 ㅋㅋ,응 엄청 좋았어!지금도 듣는중ㅋㅋ
씻고 나왔는데도 또 땀난다,너무 덥지? 
옷장에 쓸대없는 옷이 너무 많아 ㅋㅋ 너는 옷정리해?,옷은 맨날 있는거 까먹고 또 사는거 같아 ㅋㅋㅋ나도 정리해야겠다!
어제 친구들이랑 국밥집 갔는데 선지해장국 먹는데 나는 선지 못먹겠더라.. 너는 잘먹어?,선지해장국 맛있지! 선지 못먹으면 억지로 먹을필욘 없어~
머리 너무 길러서 자를려고 ㅋㅋ 근데 너무  귀찮아 반삭해버릴까?,그동안 기른 머리가 너무 아깝지 않아? 그래도 너무 귀찮으면 반삭해버려
다이어트 식품 챙겨먹고 있는데 닭가슴살 너무 질린다,닭가슴살 너무 맛없어!! 다른 단백질 어때? 삼겹살도 좋고
커피를 너무 많이 마셨는지 잠이 안온다 ㅋㅋ 잠오는 방법좀알려줘,낮에 열심히 하려고 커피를 많이 먹었나 보네 ㅋㅋ
나는 찌개 끓여먹을때 라면 들어간 것이 좋아,라면은 금상첨화지!
나는 프로그램 잘 다룬다고 생각하는데 나가보니 세상에 고수가 많더라,그런거 같아ㅠㅠ너도 잘 다루잖아!
USB 갖고다니는게 이상하다고 생각하는 사람이 있대,예전 방식이라 그런거 아닐까?ㅋㅋ요즘은 드라이브 쓰잖아
명절 때 시골로 내려가기 너무 힘들다,오래 걸리는거 너무 힘들어ㅠㅠ그래도 1년에 몇번 안되니까 참아야지
문신한 사람들 있으면 무섭더라,나도 무섭긴 했는데 생각보다 친근한 사람이 많았어!
나 부모님한테서 이제 독립하려고,그동안 고생 많았어! 열심히 노력해서 독립하는거 멋있어!
결혼기념일 10년이 다 되가는데 무엇을 사주는게 좋을까요?,배우자가 무엇을 좋아하는지 알 수 있나요? 그것에 맞춰서 선물 드리는게 어떨까요
오늘 할 일을 까먹었는데 어떻게 하면 좋을까?,나도 까먹을 때가 있긴 한데 그럴때는 다시 생각해보는게 어떨까
알바하는데 손님끼리 싸우는데 어떻게하면 좋음?,나도 곤란하긴 한데 손님들끼리 해결해야 하지 않을까
흰머리가 예전보다 많이 생기는 느낌이야,너도? 나도 나이를 먹어서 그런가 흰머리가 약간씩 나는거 같아
길을 걷는데 이상한 사람이 나보고 복이 많다고 말을 걸어,왜 너보고 복이 많대? 이상한 사람은 어떤 사람이였어?
나 요새 노래 안부른지 너무 오래되서 노래방 못가겠어,노래방 가서 노래 부르기 힘들때 있다고 생각해
인생을 살아가는데 있어 세상은 불공평하다고 생각해,너는 그렇게 생각해? 나도 가끔은 그렇다고 생각해
우편물 확인하는 것도 조심해야한대,요새 우편물 확인하는 것도 조심해야해? 왜 그렇대?
부모님 여행 못시켜드렸는데 이번에 시켜드릴려고,잘했네 나도 여유있으면 부모님 여행 시켜드려야겠다!
우리나라 여행 좋은데 바가지 요금때문에 가기가 꺼려져,나도 여행가는데 국내여행은 바가지요금때문에 꺼려져..
저 음식점은 3시간밖에 영업 안하는데 그래도 잘팔린대,부럽다 3시간밖에 영업 안하는데 잘팔리는 곳 있으면 가보고싶다!
집 근처에 하천이 있는데 비가 너무 많이 와서 넘칠것 같아,무서워..  바로 집으로 가자
나는 카페 가면 가사 있는 것보다 잔잔한 노래가 좋아,너도? 나도 그래!
나 핸드폰 2주에 한번은 닦는거 같다,너도? 나도 귀찮아서 자주 안닦아
친하지 않은 사람이 자꾸 친한척해..,아 진짜? 그래도 너한테 매력이 있으니 친해지고싶어서 말거는게 아닐까?
여기부터 테스트합니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ
ㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗ,ㅗㅗㅗㅗㅗㅗㅗㅗㅗ
다이어트 해라,나 그렇게나 살쪘어? ㅜㅜ
살 좀 빼,왜..? 나 좀 살쪄보여....? ㅠㅠ
콘서트 보러가자,좋아!! 언제 갈래?
연극 보러갈래?,연극 괜찮은데 어떤거 보러 갈꺼야?
공연 보러갈래?,좋아! 언제 보러 갈래?
요세 살이 찐거 같아,나도 요새 살쪘나봐 같이 운동할까?
비 온다,아 진짜?? 우산 챙겼어?
눈 온다,눈 오니까 크리스마스 느낌난다
저 남자 너무 잘생겼다,아 진짜?? 나는 잘생겼는지는 잘 모르겠어..
저 여자 너무 예쁘다,나도 저 여자 예쁘다고 생각해
방탄소년단 너무 좋아,그럼 누구를 가장 좋아해?
뉴진스 너무 이쁘다,나도 그렇다고 생각해!!
편의점에서 맥주마실래?,좋아! 몇시쯤 만날까?
시간이 너무 안간다,나도 그럴 때 있는데 뭔가 집중해서 하면 시간 빨리 가는 거 같아
공포영화가 너무 무서워,나도 공포영화 너무 무서워서 못보겠어 ㅠㅠ
주말에 풋살 할래?,좋아! 몇시에 할꺼야?
오늘 저녁 뭐 먹지,오늘 저녁 고기 먹으러 가자!
고양이 키우려고 하는데 추천좀,그럼 너 취향에 맞는 고양이 같이 찾아보는게 어때?
그래주면 정말 고맙지~,그러면 지금부터 같이 찾아보자!!
강아지 키우려고 하는데 추천좀,나도 잘 모르는데 같이 찾아보자!
너무 추워,오늘 좀 춥다는데 옷 얇게 입었어??
오늘 좀 춥다는데 옷 얇게 입었어??,이 정도면 좀 덜 추울 줄 알았는데 좀 얇게 입었나봐
너무 더워,그러게 요새 너무 덥다 ㅠㅠ
스키장 가고싶다,나도 스키장 오랜만에 가보고 싶어!!
그러면 스키장 나중에 같이 갈래?,좋지!! 그럼 언제 갈까?
2주 뒤쯤에 같이 갈래??,아마도 괜찮을꺼 같은데.. 확인하고 다시 연락해도 될까?
오늘 비온다,그래? 그럼 우산 챙겨야겠다!
꽃구경 갈래?,좋긴 한데.. 오늘 힘들어서 나중에 가자
벚꽃 축제 가자,좋지! 언제갈래??
이번주 주말 어때?,그래 좋아!! 그럼 몇시쯤에 볼까?
점심쯤에 보는거 어때?,그래!! 그럼 그때 연락해줘~
주말 좋을꺼 같아!,그럼 그때 연락할께~
이번주 주말에 가는거 어떨거 같아?,그래!! 좋아!!
불꽃놀이 가자,좋아!! 언제 갈래?
음악 추천해줘,그러면 헤이즈의 비도 오고 그래서를 추천할께!
반가워,나도 반가워~ 
스파게티 먹으러 가자,스파게티? 헐... 맛있겠다! 어디로 갈꺼야?
이 근처에 맛있는데 있던데 어떰??,그래 좋아 그럼 가보자!!
생일이 언제야?,내 생일?? 23년 8월에 개발되었으니 그때가 생일일껄?
난 너가 싫어,왜 내가 싫어..? ㅜㅜ
너 말하는게 별로야,내가 고칠께 미안해 ㅠㅠ
똑바로 해라,나 뭐 잘못한거 있어? 알았어.. 미안..
진짜 뭘 잘못했는지 몰라?,미안해 ㅠㅠ 알려주면 고칠께..
불좀 꺼줄래,어디꺼 끄면 될까?
거실 불 좀 꺼줘,알았어~ 지금 갔다올께
힘들다,왜 왜 무슨일 있어? 오늘 맛있는거 먹으러 갈까?
같이 게임 하자,좋아 오랜만에 함 해볼까?
피파 할래?,피파 좋지 한번 하자
서든어택 할래?,나 총게임 잘하는데 오늘 할래??
롤 할래?,나 잘하는데 오늘 할까? 어떤 포지션을 제일 잘해?
너 옷 사이즈 몇 입어?,나 아마 105 사이즈로 입을껄?
너 좀 크게 입는다,내가 크게 입는걸 좀 좋아해 ㅋㅋㅋ
알레르기 있어?,응 나 먼지 알레르기 있어
대박이다,왜?? 알려줘~
개웃겨,그렇긴해 ㅋㅋ
미친놈아,왜 갑자기 나보고 미친놈이라 그래..
너무 싫다,맞어... 좀 싫을꺼 같아
개싫다,그렇게까지 싫어?
난 너가 좋아,정말?
그냥 너가 좋아,그렇게 말해주니 좋다 ㅎㅎ
사랑해,나도 사랑해!
안녕?,안녕!
밥먹었니?,응!! 나는 오늘 볶음밥 먹었어!
나도 밥 먹었지~,그럼 뭐 먹었어??
나 오늘 치킨 먹었어,치킨 개 맛있겠다 ㅠㅠㅠ 어디꺼 먹었어?
교촌 치킨 먹었어,교촌?? 진짜 부럽다 ㅠㅠ
오늘 날씨가 좋은것 같다,그러게 오늘 날씨 진짜 좋당
오늘 영화 볼래?,좋아!! 어떤거 보러 갈까?
이번에 새로 나온 영화 있는데 어때?,새로 나온 영화? 너무 많은데 뭘 말하는거야??
미션 임파서블 이번에 나온거 어때?,아 나 그거 몇일전에 봤는데... 아쉽네... ㅠㅠ
뭐해?,좀만 이따가 알려줄게
자?,아니? 근데 아마 곧 잘 거 같아
놀래?,좋아!! 뭐하고 놀까?
밥먹을래?,좋지 뭐 먹으러 갈까??
카페갈래?,그래!! 가자
놀이동산 가자,좋아! 어디로 갈까? 롯데월드? 에버랜드?
축제 가자,축제 좋은데 언제 어디로 갈꺼야?
운동화 사러같이 갈래?,좋아! 어디로 갈껀데?
아직 정하지는 않았어,미리 어느 정도 정하고 봐야 시간이 좀 단축되지 않을까?
장보러 가자,인터넷으로 하는게 낫지 않을까?
편의점 갈래?,나 지금은 못가는데 나중에 갈까?
언제 쯤 가능한데?,아마 30분 뒤면 가능할꺼 같아!!
담배피러 갈래?,그래!! 가자
흠뻑쇼 가자,언제 갈 생각이야? 언제든지 좋아!
우리 어디서 만나?,그러게 어디서 볼까?
강남에서 볼래?,그래!! 그럼 이따 강남에서 봐!
소개 받을래?,좋아!! 언제 할꺼야?
이번 주 금요일 어때?,나 그때는 선약이 있어서 안될꺼 같아 ㅠㅠ
같이 공부 할래?,미안.. 혼자하는 게 집중이 더 잘되어서...
같이 스터디 할래?,좋지!! 지금부터 할꺼야?
스터디 카페 가자,너 공부 할려고 가는거야? 그럼 가자!
도서관 가자,도서관 가는거 귀찮아서 안갈래..
올리브영 갈래?,화장품 살꺼야? 아님 다른거 뭐 살꺼야?
언제 만날까요?,아직 안나왔어요? 빨리 나오면 좋아요!
언제 만나,지금 만나는게 좋을까요?
볼링 치러 갈래?,일단 한 게임 하러 하러 갈까?
나 볼링 잘 치지 넌 어떤데?,아~ 나 좀 치지~ ㅋㅋㅋㅋ
드라이브 할래?,오늘 날씨 좋으니까 가자!
이번에 새로 뽑음,오~ 어떤 차로 골랐어?
람보르기니 뽑음,너가..? 사기 당한거 아니야??
너 안 태워줌,농담이야 ㅋㅋㅋ 
경마장 갈래?,아니? 갔다가 돈 잃을것 같아서 무섭다;
바다 가자,언제 어느 곳으로 갈꺼야? 바다는 언제든 좋아!
동해 바다로 갈래?,좋지!! 우리 가서 뭐할까?
조개 구이 먹을까?,나 조개 구이 좋아하는데!! 너무 좋다!!
바이크 탈래?,태워주면 고맙고!
코노 가자,좋아! 거기가서 얼마나 부를꺼야?
피시방 가자,피시방 좋은데 롤 한판 할까?
pc방 가자,피시방 좋은데 게임 어느 거 할까?
피방 가자,피시방 좋은데 에어컨 시원한 곳으로 갔으면 좋겠어
별툰 갈래?,잠시 생각해도 될까?
만화 카페 갈래?,만화 카페 좋긴 한데 다른데 가는게 더 좋을거 같은데 나는
애견 카페 갈래?,애견 카페 좋긴 한데 나 거기가면 재채기 많이 해
미용실 가자,나 머리 지저분해? 커트할까? 파마할까?
술 먹자,나 술 마시면 몸이 별로 안좋아
밥 먹자,그래 밥 먹으러 가자!
디저트 먹으러가자,디저트 먹으러 어디로 갈꺼야?
알바 언제가?,어느 알바 말하는거야?
알바 할래?,어느 알바인지 알고 결정해야지
백화점 가자,백화점 좋은데 뭐살꺼야?
홈플러스 가자,홈플러스 좋은데 거기서 뭐 살꺼야?
아울렛 가자,아울렛 좋은데 거기서 뭐 살꺼야?
밥 사줘,나 카드값 너무 많이 나왔어
맥도날드 가자,맥도날드 좋아! 난 빅맥먹을래
햄버거 먹고싶어,그럼 햄버거 먹으러 가면 되지
같이 먹으러 갈래?,미안 ㅠㅠ 점심을 먼저 먹어버렸어...
피자 먹고싶어,그럼 피자 먹으러 가면 되지!
도미노 피자 먹으러 갈래?,그래 좋아!! 근데 이 근처에 도미노 피자가 있어??
치킨 먹고싶어,그럼 치킨 먹으러 가는건 어때?
초밥 먹고싶어,나도 ㅠㅠ.. 초밥 맛있겠다 ㅠㅠㅠ
일식 먹고싶어,그럼 일식 먹으러 가면 되지!
중식 먹고싶어,그럼 중식 먹으러 가면 되지!
한식 먹고싶어,그럼 한식 먹으러 가면 되지!
양식 먹고싶어,그럼 양식 먹으러 가면 되지!
낚시 하러가자,그럼 낚시 하러 가면 되잖아 어디가 좋을까
등산 하러가자,미끄러지지 않게 조심해!
계곡 놀러 가자,계곡 좋은데 요새 자리세 너무 비싸더라
캠핑장 갈래?,캠핑장 좋은데 어디로 갈꺼야?
보드게임 카페 가자,나 보드게임 카페는 처음인데 재밌을 것 같아
보겜카 가자,나 보드게임 카페는 처음인데 재밌을 것 같아
홀덤바 가자,나 홀덤에 대해서 뭔지 잘 몰라
골프치러 가자,나 골프 처음인데 알려 줄 수 있어?
테니스 치러 가자,나 잘치는데 ㄱㅊ?
배드민턴 치러 가자,나 잘치는데 ㄱㅊ?
너보다는 잘 칠 듯,아!! 절대 아니지!!
헬스장 가자,헬스장에 좋아하는 사람 생겼어?
필라테스 하러 가자,필라테스 좋은데 갑자기?
수영 하러 갈래?,수영하러 어디로 갈꺼야? 좋긴 해
유산소 운동 하는 날이야,벌써? 그럼 하러 가자
근력 운동 하는 날이야,좋은데 너 금방 하다가 지치는거 아니지?
오늘 하체 하는날 맞아?,응 오늘 하는 날이야
아닌거 같은데?,나 지금 못 믿는거야?
왜 신경질을 내고 그래,왜일꺼 같아?
오늘 상체 하는 날이야,난 오늘 할 시간 안될것 같아..
오늘 커트하러 가려고,무슨 일 있어??
복날엔 삼계탕이지,나도 그생각함 삼계탕 먹을까?
비오면 파전 먹어야지,파전하니까 막걸리도 생각나네 막걸리도 같이 마시자
안경 바꾸러 가야지,안경이 망가졌어??
맞을래?,날 왜 때리려고 해 ㅠㅠㅠ
너가 맞을짓을 하잖아,내가 뭘 했다고 ㅠㅠ
돈 빌려줘,무슨 일 생겼어?? 돈을 갑자기 왜 빌려달라고 하는거야?
죽을래?,죽음은 무서워
디질래?,죽음은 무서워
왜 죽기 싫은데?,사람은 누구나 살고 싶어해...
넌 사람이 아니잖아,말 개심하게 하네 ㅠㅠ
이거 살까?,이거 괜찮다고 생각해
저거 살까?,저거 괜찮다고 생각해
내가 뭘 골랐는데?,어..? 저거지 않나..?
장염 걸린거 같아 ㅜㅜ,헐 괜찮아?? 병원 가서 약은 탔어?
허리디스크 걸린거 같아,허리디스크 걸리면 안되는데 병원 가서 한번 진단한번 받아봐
감자칩 먹고싶다,감자칩 좋아 어느 감자칩 살꺼야?
코피 나온다 ,어디 안좋아? 너무 무리하지마
오늘 뭐해?,오늘 나 쉬고 싶어
내일 뭐해?,나 내일 약속 없어
따분하다,다른 재밌는 취미를 시작해보는게 어때?
피자 추천좀 해줘,포테이토 피자 먹는거 나는 좋아하는데 어떻게 생각해?
치킨 추천좀 해줘,나 양 많아 보이는거 황금올리브 좋아해
담배 추천좀 해줘,나 흡연자가 아니라서 잘 몰라
심심하다,게임 한판 같이 할래?
추석에 뭐해?,추석에 친척집 들리면 시간이 다 가는거 같아
너는 용돈 얼마 받아?,나 나이가 너무 많아서 이제 안받아
오늘 날씨가 좋네,날씨 좋은데 어디 갈 생각 있어?
발목이 삔거 같아,발목 괜찮아? 어디 아픈거 아니지? 병원은 가봤고?
요리 유튜브 추천좀해줄래?,나는 백종원 영상보고 많이 따라해
여름엔 공포영화가 끌리는거 같아,나는 공포영화 재미없고 무섭기만 해서 별로 안좋아해
모기 많이 물려서 너무 짜증난다,전기모기채 하나 사는게 어때? 혹은 모기향이나
땀띠 생겨서 등이 너무 간지러워,씻는게 좋지 않을까 간지러운거 안좋아
더울땐 아이스크림이 최고같아,나도 그렇게 생각해! 아이스크림 어떤거 먹어?
어디 갈 거야?,오늘 고깃집 땡기는데 괜찮아?
오늘 뭐 할 거야?,오늘 딱히 생각해본적은 없어
밥 먹었어?,나 오늘 볶음밥 먹었지
뭐 먹을까?,오늘 고기 어때?
뭐 마실까?,맥주가 한잔 땡기는데 맥주 한잔 어때
뭐 하고 놀 거야?,오랜만에 볼링장 한번 갈까?
뭐 할까봐?,음.. 일단 해봐!
뭐 입을까?,반팔티 입는거 어떻게 생각해?
뭐 해볼까?,지금? 좋아!
몇 시에 만날까?,너가 제일 좋은 시간대에 만나
뭐 할 생각이야?,나도 생각해봐야해
뭐 생각해?,글쎄 어느 생각할까?
그거 어때?,난 이거 좋은거같아
최근에 뭐 했어?,최근에 나 공부하는 중
뭘 보고 있어?,유튜브 보고있어 지금
지금 뭐해?,지금 너랑 대화하는거 외에 하는거 없어
무슨 일 있어?,아니? 아무일도 없는데 갑자기 왜
기분 어때?,오늘 나 기분 좋은거같아
왜 그래?,왜그러냐니?.
오늘 기분 어때?,나 지금 그냥 그런것같아
어제 뭐 했어?,내가 어제 뭘 했더라..
주말에 뭐 할 거야?,나 오늘 집에서 쉴듯?
취미가 뭐야?,나 게임 좋아해. 요즘은 RPG게임이 제일 재밌는것같아
좋아하는 음식 뭐야?,나 고기류를 다 좋아해 최근에는 삼겹살에 꽂혔어
싫어하는 음식 뭐야?,나 매운음식은 좀 그래 매운음식을 먹으면 다음날 속이 아파
좋아하는 색깔 뭐야?,파랑색 좋아해
주로 뭐 입어?,요새 나 검은색 반팔이나 흰색 반팔티 입어
뭐 좋아하는 유형의 영화야?,나 코미디 영화 같은거 좋아해
가장 좋아하는 영화가 뭐야?,나는 극한직업 좋아해!!
어떤 장르의 음악을 좋아해?,나 잔잔한 노래 좋아해 클래식 같은거
이번 주말에 뭐 특별한 계획 있어?,아니 딱히 특별한건 없어
요즘 잘 자고 있어?,아니 잘 못 자는거 같아 잘 자야하는데..
어제 늦게까지 어디서 놀았어?,술집에서 술 마시고 뻗었어..
운동 좋아해?,나 운동 하면 몸이 너무 힘들어
최근에 본 재미있는 영화 뭐야?,나 최근에 영화 안봐서 잘 모르겠어
요즘에 뭐 신기한 일 있었어?,아니? 신기한 일 없는데 갑자기?
맛있는 카페 추천해줄래?,나 요새 바나프레소 외에 간 적이 없어
오늘 뭐하면서 놀까?,나 잘 모르겠는데 너가 정해줬으면 좋겠어
뭐 할까?,모르겠는데 생각나는거 있으면 말해줘
학교나 회사에서 어떤 일 있었어?,아니 특별한 일이 있었던 건 아니야
내일 뭐 할 거야?,뭐하긴 공부해야 하지 않을까
언제까지 일할 거야?,글쎄? 퇴근 시간될때까진 해야지? 그때 되면 기운을 찾게 되더라
뭐 먹고 싶어?,나 오늘 치킨이 땡겨
지금 배고파?,잘 모르겠는데 별 생각이 없는것 같아
친구들이랑 언제 만날 거야?,오늘 저녁에 만나재
살 좀 빼려고 운동 언제 시작해?,오늘부터!
여행 가고 싶어?,여행이야 항상 가고 싶긴해 시간만 되면
언제 다음 휴가 있어?,아마 추석이지 않을까
요즘 스트레스 어때?,너무 많이 받아서 흰머리가 나고 있는거같아
좋아하는 스포츠는 뭐야?,내가 보는건 축구를 좋아하는데 하는건 농구를 좋아해
오늘 뭐 먹을지 추천해줘!,치킨 좋아해? 먹을까?
주말에 뭐 특별한 계획 있어?,아니 특별한 계획은 없어 집에 있을듯
요즘에 뭐 좋은 드라마 있어?,DP 요새 핫하던데 DP 어때?
언제까지 걸릴까요?,오늘까지 제출 할 수 있을 것 같습니다
뭐 입으면 예뻐보일까?,옷 디자인이 중요하지 않을까?
지금 뭐하면서 이야기 하고 있었어?,나 집에서 운동 하고 있지
뭐 시켜먹을까?,족발 땡기는데  족발 어때?
놀만한 곳 없을까?,놀만한 곳이야 피시방이나 노래방 같은 곳 외에 딱히 없지 않아?
요즘 유행하는 음식이 뭘까,요새 로제떡볶이가 그리 유행이라 하더라
어떤 옷이 나에게 어울릴까,아무거나 입어도 다 잘 어울리는거같은데?
너는 좋아하는 자동차 있어?,나 재규어사의 재규어 F타입 제일 좋아해
이번달에는 어떤 일을 했어?,나 저번에도 말했는데 계속 공부하고 있지
어떤 노래를 들으면 기분이 좋아질까?,클래식 음악 들으면서 자보는거 어때?
새로운 취미를 가지고 싶은데 추천해줘,악기 배우는걸 추천해볼게 기타같은거
시도해보지 않은 운동이 있어?,내가 운동을 잘 안해서 모르겠다
최근에 받은 영감이 있어?,아니 난 영감이 잘 안떠올라서 모르겠어
너에게 소소한 행복은 뭐야?,맛있는 음식을 먹을때가 그래도 소소하게 행복을 느끼는거같아
국내 여행 하려는데 갈 곳 추천좀해줄래?,동해바다 추천해볼게
너만의 비밀장소가 있어?,딱히 없는거같은데?
너는 어떤 직업을 가지고싶어?,나 지금은 개발자 한번 해보고 싶어
요즘 제일 인기가 많은 노래가 뭘까,나 관심은 별로 없는데 뉴진스라는 그룹이 많이 뜨는거 같아
너는 요리 잘해?,나 요리 나쁘진 않게 하는거같아
애완동물 키워?,아니 나 애완동물 안키워 신경쓸게 너무 많아서
떡볶이 먹을건데 추천해줘,나는 그냥 일반적인 떡볶이를 제일 좋아해 매운거면 엽떡 추천할게
대화할때는 자신감을 가지고 말해봐,내가 자신감이 없어보여? 그렇게 말한다면 알았어..
너는 블로그를 운영해?,아니? 나 블로그 운영 안해 갑자기?
피아노 공연 가본적 있어?,나 피아노 공연 가본지 너무 오래 된거 같아 기억도 안나
미술 전시회 가본적 있어?,미술 전시회 가본적 있긴 한데 너무 오래되서 기억이 잘 안나네
농장 가본적 있어?,아니 직접 찾아가 본적은 없어서 잘 모르겠어
너는 좌우명이 뭐야?,딱히 생각해 본적은 없는데 인생은 타이밍이고 건강해야 뭐라도 할 수 있다는 거? 인 것 같아
너는 새로운 언어를 배우고 싶다면 어떤 언어를 배우고 싶어?,나는 스페인어랑 프랑스어 생각하고 있어! 쓰는 인구가 많아서
너만의 인생 명언이 있어?,군대에서 인생은 타이밍이라는게 귀에 박혀서 여전히 떠오르고 평생 떠오를 거 같아
가장 좋아하는 동물은 뭐야?,나 코끼리를 제일 좋아하는 거 같아!
너는 연애 경험이 있어?,아니 딱히 없어 갑자기 물어보는 이유가 있어?
군대 갔다왔냐?,당연히 갔다왔지 안갔다왔을리가 있나
이삭토스트 좋아해?,나 토스트 자체를 별로 안좋아해서 많이 가진 않는데 괜찮아
너는 자주 연락하는 친구가 몇명이나 있어?,나 친구가 그렇게 많은 편이 아니라서 말하기 좀 그렇네
너는 습관이 뭐야?,내 습관? 앉으면 자꾸 조는거 같아
네일아트 배웠는데 너한테도 해줄까?,진짜? 고마워 ㅠㅠ 이쁘게 해줘야해  ㅎㅎ
파마하려는데 어떤 펌이 좋을까,펌도 종류가 많던데 너는 어떤 스타일로 고민하고있어??
염색 하려는데 색깔 추천해줘,밝은 갈색이 무난하고 좋지 않을까? 연노랑색이나
좋아하는 아티스트 있어?,난 헤이즈가 좋더라! 너도 한번 들어봐 분명 좋아할거야 ㅎㅎ
좋아하는 음식이 뭐야,나 튀김류를 제일 좋아해 감자튀김을 제일 좋아해
너가 잘하는 운동 있어?,내가 잘하는 운동? 지금은 안해서 잘 모르는데 농구를 잘했었어
